Company name,Main contact name,Main contact email,Main contact phone,Division,MOA workflow (from MOA setup),COSEC client?,Has Limit of Authority (LOA)?,LOA holder names (if Y),Invoice to,Bill to,Division MOI managers (auto),Notes
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A12,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E12="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E12,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E12,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E12,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E12,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E12,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E12,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E12,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A13,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E13="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E13,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E13,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E13,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E13,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E13,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E13,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E13,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A14,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E14="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E14,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E14,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E14,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E14,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E14,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E14,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E14,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A15,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E15="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E15,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E15,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E15,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E15,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E15,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E15,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E15,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A16,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E16="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E16,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E16,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E16,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E16,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E16,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E16,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E16,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A17,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E17="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E17,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E17,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E17,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E17,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E17,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E17,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E17,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A18,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E18="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E18,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E18,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E18,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E18,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E18,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E18,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E18,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A19,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E19="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E19,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E19,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E19,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E19,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E19,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E19,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E19,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A20,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E20="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E20,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E20,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E20,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E20,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E20,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E20,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E20,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A21,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E21="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E21,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E21,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E21,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E21,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E21,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E21,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E21,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A22,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E22="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E22,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E22,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E22,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E22,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E22,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E22,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E22,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A23,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E23="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E23,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E23,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E23,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E23,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E23,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E23,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E23,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A24,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E24="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E24,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E24,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E24,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E24,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E24,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E24,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E24,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A25,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E25="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E25,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E25,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E25,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E25,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E25,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E25,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E25,Divisions!$A$3:$A$50,0)),""""),"""")))",
,,,,,"=IFERROR(INDEX('Company MOA setup'!$B$3:$B$500,MATCH($A26,'Company MOA setup'!$A$3:$A$500,0)),""Division default"")",,,,,,"=IF($E26="""","""",TRIM(IFERROR(INDEX(Divisions!$C$3:$C$50,MATCH($E26,Divisions!$A$3:$A$50,0)),"""")&IF(IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E26,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$E$3:$E$50,MATCH($E26,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E26,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$G$3:$G$50,MATCH($E26,Divisions!$A$3:$A$50,0)),""""),"""")&IF(IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E26,Divisions!$A$3:$A$50,0)),"""")<>"""","", ""&IFERROR(INDEX(Divisions!$I$3:$I$50,MATCH($E26,Divisions!$A$3:$A$50,0)),""""),"""")))",
